iter	Passed	Remaining
0	199	199298
1	238	119122
2	286	95326
3	316	78747
4	359	71543
5	405	67202
6	458	64999
7	512	63604
8	557	61413
9	598	59282
10	654	58877
11	687	56599
12	739	56171
13	785	55337
14	831	54610
15	874	53773
16	910	52620
17	951	51928
18	1003	51809119	1050	51452220	1095	51066221	1135	5047222	1180	50136223	1225	49844224	1276	49786225	1342	50273
26	1385	49916
27	1438	49923
28	1481	49594
29	1518	49108
30	1557	48694331	1598	48344332	1655	48502
33	1696	48201
34	1743	48066
35	1783	47764336	1841	47920337	1886	47745338	1933	47638339	2015	48369440	2069	48399441	2124	48448442	2174	48390443	2229	48450444	2272	4823545	2330	48328
46	2375	48157
47	2421	48021
48	2481	48157
49	2543	48328
50	2602	48432
51	2645	48226
52	2699	48225
53	2749	48171
54	2793	48002
55	2864	48289
56	2926	48418
57	2977	48365
58	3019	48152
59	3058	47923
60	3102	47756
61	3148	47635
62	3195	47531
63	3256	47632
64	3285	47261
65	3322	47023
66	3360	46797
67	3412	46767
68	3458	46671
669	3494	46432770	3543	46370771	3598	46381772	3640	46232773	3687	46147
74	3718	45859
75	3770	45844776	3828	45890
77	3868	45726
78	3938	45914
79	3981	45792
80	4040	45844
81	4086	45744
82	4145	45796
83	4205	45856
84	4242	45674
85	4293	45631
86	4338	45526
87	4380	45402888	4432	45375889	4471	45213990	4511	45067991	4551	44921992	4600	44869993	4652	44843
94	4693	44711
95	4742	44657
96	4798	44674
97	4848	44628
98	4889	44497
99	4939	44456
100	4974	44280
101	5020	44203
102	5065	44112
103	5097	43916
104	5140	43816
105	5174	43643
106	5203	43424
107	5245	43319
108	5281	43173
1109	5324	430781110	5367	429891111	5416	429451112	5473	429611113	5517	42883
114	5555	42749
115	5591	426131116	5621	424261117	5657	422851118	5692	42145119	5737	42073
1120	5792	420751121	5831	41965122	5903	42091
123	5949	42027
124	5987	41913
125	6046	41938
126	6100	41937
127	6156	41938
128	6206	41903
129	6244	41787
130	6305	41825
131	6352	41773
132	6404	41747
133	6452	41698
134	6501	41655
135	6552	41629
136	6597	41561
137	6645	41510
138	6690	41442
139	6729	41339
140	6782	41322
141	6829	41268
142	6884	41256
143	6931	41205
144	6954	41010
145	6996	40924
146	7029	40792
147	7067	40685
148	7112	40623
149	7153	40534
150	7198	40475
151	7251	40453
152	7290	40359
153	7325	40241
154	7366	40158
155	7402	40048
156	7445	39977
157	7486	39895
158	7525	39805
159	7578	39789
160	7623	39728
161	7662	39635
162	7697	39528
163	7740	39458
164	7787	39411
165	7832	39351
166	7875	39282
167	7921	39229
168	7973	39205
169	8016	39140
170	8080	39173
171	8130	39139
172	8172	39065
173	8230	39071
174	8275	39013
175	8324	38972
176	8362	38881
177	8405	38815
178	8465	38826
179	8504	38743
180	8540	38643
181	8571	38526
182	8609	38435
183	8645	38341
184	8674	38216
185	8724	38181
186	8779	38168
187	8827	38128
188	8877	38091
189	8914	38002
190	8944	37883
191	8977	37779
192	9021	37722
193	9086	37751
194	9137	37721
195	9178	37650
196	9220	37583
197	9266	37532
198	9321	37519
199	9356	37424
200	9388	37318
201	9428	37248
202	9458	37136
203	9511	37114
204	9558	37068
205	9593	36977
206	9641	36936
207	9688	36889
208	9747	36891
209	9797	36858
210	9850	36832
211	9905	36817
212	9939	36723
213	9993	36703
214	10038	36652
215	10070	36551
216	10135	36573
217	10177	36509
218	10228	36478
219	10268	36407
220	10313	36352
221	10350	36272
222	10394	36218
223	10440	36167
224	10479	36094
225	10518	36025
226	10557	35951
227	10598	35887
228	10655	35873
229	10700	35821
230	10745	35773
231	10788	35714
232	10825	35636
233	10881	35622
234	10924	35561
235	10962	35490
236	11016	35466
237	11063	35420
238	11109	35373
239	11151	35313
240	11192	35248
241	11240	35206
242	11298	35197
243	11341	35139
244	11394	35112
245	11435	35051
246	11475	34983
247	11523	34942
248	11567	34887
249	11613	34841
250	11651	34767
251	11699	34725
252	11746	34681
253	11804	34670
254	11838	34586
255	11872	34504
256	11914	34445
257	11957	34389
258	11998	34326
259	12038	34264
260	12083	34212
261	12112	34117
262	12146	34037
263	12189	33983
264	12221	33897
265	12268	33854
266	12311	33798
267	12355	33747
268	12404	33710
269	12443	33642
270	12461	33522
271	12513	33492
272	12551	33424
273	12602	33390
274	12637	33316
275	12673	33244
276	12719	33198
277	12762	33146
278	12808	33100
279	12848	33038
280	12891	32985
281	12929	32920
282	12963	32844
283	13019	32824
284	13050	32739
285	13086	32669
286	13125	32608
287	13169	32557
288	13210	32499
289	13249	32439
290	13287	32373
291	13329	32320
292	13375	32274
293	13410	32202
294	13451	32147
295	13493	32092
296	13545	32062
297	13589	32012
298	13629	31953
299	13665	31885
300	13699	31814
301	13724	31720
302	13757	31647
303	13815	31630
304	13860	31584
305	13901	31528
306	13936	31460
307	13979	31409
308	14011	31334
309	14047	31266
310	14091	31218
311	14127	31153
312	14169	31099
313	14193	31009
314	14236	30959
315	14267	30882
316	14306	30824
317	14355	30788
318	14394	30730
319	14434	30674
320	14475	30618
321	14515	30564
322	14552	30501
323	14589	30440
324	14648	30424
325	14693	30378
326	14726	30308
327	14771	30262
328	14818	30222
329	14850	30151
330	14894	30104
331	14932	30044
332	14981	30008
333	15019	29949
334	15062	29900
335	15110	29861
336	15162	29830
337	15210	29791
338	15240	29716
339	15284	29669
340	15329	29624
341	15370	29572
342	15414	29526
343	15450	29462
344	15490	29408
345	15534	29362
346	15564	29289
347	15608	29242
348	15656	29203
349	15698	29153
350	15740	29104
351	15780	29051
352	15820	28996
353	15863	28948
354	15901	28891
355	15941	28837
356	15968	28761
357	16022	28732
358	16061	28678
359	16106	28634
360	16158	28602
361	16198	28548
362	16232	28485
363	16271	28430
364	16321	28394
365	16356	28334
366	16405	28296
367	16448	28247
368	16482	28186
369	16529	28144
370	16569	28091
371	16601	28025
372	16654	27995
373	16702	27956
374	16737	27895
375	16771	27833
376	16810	27778
377	16851	27728
378	16903	27696
379	16947	27651
380	16996	27613
381	17043	27573
382	17079	27515
383	17129	27478
384	17184	27450
385	17233	27412
386	17280	27371
387	17316	27312
388	17369	27282
389	17428	27259
390	17471	27212
391	17533	27195
392	17582	27156
393	17628	27113
394	17665	27056
395	17714	27018
396	17752	26964
397	17808	26935
398	17839	26871
399	17897	26846
400	17942	26802
401	17985	26754
402	18024	26700
403	18055	26636
404	18090	26578
405	18135	26533
406	18172	26477
407	18213	26427
408	18251	26372
409	18295	26327
410	18346	26291
411	18392	26250
412	18432	2413	1413	18508	26198
414	18546	26144
415	18593	26102
416	18639	26059
417	18691	26024
418	18737	25982
419	18784	25940
420	18833	25901
421	18877	25855
422	18913	25798
423	18957	25754
424	18989	25692
425	19036	25649
426	19068	25587
427	19107	25535
428	19150	25489
429	19191	25440
430	19236	25395
431	19285	25356
432	19325	25305
433	19357	25245
434	19408	25208
435	19467	25183
436	19513	25139
437	19557	25094
438	19599	25046
439	19648	25007
440	19696	24967
441	19728	24905
442	19774	24863
443	19836	24840
444	19864	24774
445	19897	24715
446	19941	2447	1447	19989	24630
448	20022	2449	2449	20070	2450	2450	20114	2451	2451	20144	2452	2452	20181	2453	2453	20240	2454	2454	20266	2455	2455	20300	2456	2456	20351	2457	2457	20401	24143
458	20446	24098
459	20491	24055
460	20526	23999
461	20581	23966
462	20626	23923
463	20680	23889
464	20726	23846
465	20764	23794
466	20801	23741
467	20838	23688
468	20877	23637
469	20902	23571
470	20948	23528
471	20983	23473
472	21025	23426
473	21063	23374
474	21091	23311
475	21142	23274
476	21178	23220
477	21223	23176
478	21256	23120
479	21301	23077
480	21338	481	21481	21376	22973
482	21404	483	21483	21435	484	21484	21473	485	21485	21509	486	21486	21563	487	21487	21605	488	21488	21649	489	21489	21702	4490	2490	21729	4491	2491	21779	4492	2492	21809	4493	2493	21851	4494	2494	21891	4495	2495	21940	4496	2496	21982	4497	2497	22027	2498	2498	22073	2499	2499	22112	2500	2500	22153	2501	2501	22193	5502	2502	22221	503	22291	21937
504	22332	21889
505	22505	22342	5506	2506	22388	507	22507	22434	508	22508	22479	509	22509	22523	510	22510	22575	511	22511	22618	512	22512	22659	513	22513	22705	514	22514	22734	515	22808	21394
516	22852	21349
517	22902	21311
518	22944	21264
519	22985	21217
520	23021	21165
521	23071	21126
522	23103	21071
523	23141	21021
524	23524	23144	525	23525	23179	526	23526	23214	5527	2527	23277	5528	2528	23319	5529	2529	23374	5530	2530	23426	5531	2531	23484	5532	2532	23542	5533	2533	23584	5534	2534	23641	535	23535	23694	20511
536	23730	537	23537	23773	538	23538	23816	539	23539	23852	540	23540	23905	541	23541	23964	20250
542	24015	20212
543	24090	20193
544	24125	20141
545	24173	20100
546	24203	20044
547	24244	19997
548	24305	19966
549	24343	19917
550	24381	1551	2551	24431	19828
552	24470	1553	2553	24509	1554	2554	24558	1555	2555	24604	1556	2556	24647	1557	2557	24684	1558	2558	24728	1559	2559	24773	1560	2560	24810	1561	24881	19391
562	24929	19350
563	24957	19293
564	25011	19256
565	25051	19208
566	25091	19161
567	25134	19116
568	25176	19070
569	25233	19035
570	25285	18997
571	25334	18956
572	25384	18916
573	25434	18876
574	25456	18815
575	25490	18764
576	25528	18715
577	25576	18673
578	25615	18625
