iter	RMSE
0	8.112922385
1	7.69463752422	7.31982424833	7.00235043344	6.69619674555	6.41932578366	6.17218969677	5.95214062288	5.75150638599	5.579076459110	5.421926319111	5.281997811112	5.148715701113	5.037194241414	4.946389561515	4.856483391616	4.778414271717	4.712842421818	4.650813801919	4.593666122020	4.543760952121	4.4989122	2222	4.4688223	23	4.436919924	224	4.41027025	225	4.381713584226	4.354139474227	4.328810921228	4.310000672229	4.28757132430	4.271802439
31	4.25426186
32	4.241550976
33	4.227538967
34	4.212858705
35	4.202149054
36	4.191834653
37	4.182522537
38	4.170165375
39	4.158950147440	4.149997084141	4.140064354242	4.131429544343	4.122533844	44	4.116114145	4.071202268
46	4.064818635
47	4.058103908
48	4.051948456
49	4.043110616
50	4.038259064
51	4.032178942
52	4.027538832
53	4.022813501
54	4.019491693
55	4.015033884
56	4.009638571
57	4.005253101
58	4.00309719
59	3.998458591
60	3.995645594
61	3.991705497
62	3.989248208
63	3.984603972
64	3.980398673
65	3.976506983
66	3.97313365
67	3.970215065
68	3.967682562
69	369	3.99395170	370	3.9896971	3.71	3.9877172	3.72	3.9846373	3773	3.979645591774	3.973385194775	3.9679076	376	3.965406011
77	3.962862736
78	3.959662702
79	3.956819888
80	3.954827392
81	3.952599955
82	3.951071877
83	3.948100186
84	3.946305718
85	3.944545707
86	3.940410738
87	3.937588	3.988	3.933889	3.989	3.931790	3.890	3.93091	3.9191	3.92792	3.8992	3.92593	3.893	3.921902422
94	3.919356816
95	3.916283436
96	3.91442621
97	3.912078672
98	3.908193917
99	3.905616219
100	3.902094975
101	3.899548703
102	3.897283704
103	3.89437587
104	3.891774776
105	3.890277849
106	3.887114011
107	3.8856289421108	3.8833153061109	3.8785373611110	3.8749977111111	3.872315653
112	3.870439029
113	3.867166899
114	3.8646039411115	3.8618006911116	3.859183117	117	3.856211118	118	3.854859119	3.855843705
120	120	3.85132121	3121	3.8494122	3.850062522
123	3.847626194
124	3.843618633
125	3.839940921
126	3.838691543
127	3.837344233
128	3.83576621
129	3.832743128
130	3.830585385
131	3.828675335
132	3.826757821
133	3.825246496
134	3.822006511
135	3.820968934
136	3.816615196
137	3.812952577
138	3.810632389
139	3.809185321
140	3.806812724
141	3.805760467
142	3.803622548
143	3.801763225
144	3.799308505
145	3.796865761
146	3.795283285
147	3.793358677
148	3.791003619
149	3.787512343
150	3.786870115
151	3.785535012
152	3.783917313
153	3.781236176
154	3.778652734
155	3.776480173
156	3.773934712
157	3.77198128
158	3.769877974
159	3.765957783
160	3.765270696
161	3.763740027
162	3.761784774
163	3.758783159
164	3.756874182
165	3.755174067
166	3.752857307
167	3.749883785
168	3.748167665
169	3.745656858
170	3.743821494
171	3.742335678
172	3.740459094
