LAT,LON,YEAR,MONTH,DAY,qv2m,prectotcorr,ws10m,ts
22.5,85.0,2010,4,1,4.61,0.0,4.0,33.35
22.5,85.625,2010,4,1,4.61,0.0,3.65,33.5
22.5,86.25,2010,4,1,5.2,0.0,2.82,33.85
22.5,86.875,2010,4,1,7.67,0.0,2.79,32.77
22.5,87.5,2010,4,1,10.09,0.0,3.02,32.25
22.5,88.125,2010,4,1,11.74,0.0,3.67,34.06
23.0,85.0,2010,4,1,5.02,0.0,3.99,32.23
23.0,85.625,2010,4,1,5.0,0.0,3.49,33.65
23.0,86.25,2010,4,1,6.16,0.0,2.25,33.32
23.0,86.875,2010,4,1,8.44,0.0,2.49,31.49
23.0,87.5,2010,4,1,10.05,0.0,2.18,31.76
23.0,88.125,2010,4,1,11.04,0.0,2.78,33.43
23.5,85.0,2010,4,1,5.21,0.0,3.97,31.32
23.5,85.625,2010,4,1,5.32,0.0,3.7,32.87
23.5,86.25,2010,4,1,6.4,0.0,2.8,32.61
23.5,86.875,2010,4,1,7.55,0.0,2.16,32.05
23.5,87.5,2010,4,1,8.59,0.0,2.11,32.44
23.5,88.125,2010,4,1,10.57,0.0,2.44,33.24
24.0,85.0,2010,4,1,5.28,0.0,3.77,32.09
24.0,85.625,2010,4,1,5.61,0.0,3.75,32.02
24.0,86.25,2010,4,1,5.74,0.0,3.36,32.59
24.0,86.875,2010,4,1,6.27,0.0,2.78,32.49
24.0,87.5,2010,4,1,6.19,0.0,2.16,33.1
24.0,88.125,2010,4,1,8.18,0.0,2.23,33.13
22.5,85.0,2010,4,2,4.87,0.0,2.67,34.11
22.5,85.625,2010,4,2,5.13,0.0,2.05,34.24
22.5,86.25,2010,4,2,6.13,0.0,2.83,34.36
22.5,86.875,2010,4,2,9.26,0.0,3.44,32.78
22.5,87.5,2010,4,2,13.17,0.03,2.72,32.56
22.5,88.125,2010,4,2,15.02,0.05,3.8,34.29
23.0,85.0,2010,4,2,4.71,0.0,3.05,32.97
23.0,85.625,2010,4,2,4.98,0.0,2.69,34.27
23.0,86.25,2010,4,2,6.63,0.0,2.5,33.69
23.0,86.875,2010,4,2,10.13,0.0,2.61,31.72
23.0,87.5,2010,4,2,13.11,0.09,2.12,32.21
23.0,88.125,2010,4,2,14.13,0.21,2.69,34.11
23.5,85.0,2010,4,2,4.37,0.0,3.34,31.63
23.5,85.625,2010,4,2,4.7,0.0,3.34,33.06
23.5,86.25,2010,4,2,6.23,0.0,2.65,32.72
23.5,86.875,2010,4,2,8.69,0.0,2.03,32.35
23.5,87.5,2010,4,2,10.93,0.11,1.82,33.09
23.5,88.125,2010,4,2,12.6,0.48,2.08,33.96
24.0,85.0,2010,4,2,4.13,0.0,3.44,31.89
24.0,85.625,2010,4,2,4.59,0.0,3.59,31.87
24.0,86.25,2010,4,2,4.94,0.0,3.23,32.49
24.0,86.875,2010,4,2,6.34,0.0,3.0,32.66
24.0,87.5,2010,4,2,7.54,0.04,2.39,33.8
24.0,88.125,2010,4,2,9.86,0.4,1.88,33.92
22.5,85.0,2010,4,3,4.66,0.0,2.61,34.52
22.5,85.625,2010,4,3,6.06,0.0,1.09,34.56
22.5,86.25,2010,4,3,9.34,0.0,2.09,35.34
22.5,86.875,2010,4,3,14.62,0.0,3.44,34.19
22.5,87.5,2010,4,3,16.86,0.0,4.34,32.81
22.5,88.125,2010,4,3,17.08,0.0,5.07,33.31
23.0,85.0,2010,4,3,3.96,0.0,2.22,33.13
23.0,85.625,2010,4,3,5.33,0.0,1.59,34.33
23.0,86.25,2010,4,3,8.6,0.0,2.09,34.17
23.0,86.875,2010,4,3,13.26,0.01,2.7,32.84
23.0,87.5,2010,4,3,15.42,0.03,3.43,32.88
23.0,88.125,2010,4,3,15.59,0.02,4.31,33.85
23.5,85.0,2010,4,3,3.55,0.0,1.7,32.34
23.5,85.625,2010,4,3,4.15,0.0,1.34,33.61
23.5,86.25,2010,4,3,5.98,0.0,1.69,33.25
23.5,86.875,2010,4,3,9.34,0.04,2.11,32.95
23.5,87.5,2010,4,3,11.81,0.17,2.99,33.32
23.5,88.125,2010,4,3,13.28,0.07,3.73,34.02
24.0,85.0,2010,4,3,3.52,0.0,2.37,32.74
24.0,85.625,2010,4,3,4.1,0.0,1.99,32.66
24.0,86.25,2010,4,3,4.49,0.0,1.69,33.23
24.0,86.875,2010,4,3,5.52,0.08,1.93,32.97
24.0,87.5,2010,4,3,6.87,0.35,2.58,33.61
24.0,88.125,2010,4,3,9.37,0.37,3.13,33.73
22.5,85.0,2010,4,4,5.5,0.0,2.54,34.5
22.5,85.625,2010,4,4,7.52,0.0,3.02,34.33
22.5,86.25,2010,4,4,10.71,0.0,3.39,35.06
22.5,86.875,2010,4,4,14.64,0.0,3.46,34.7
22.5,87.5,2010,4,4,17.0,0.0,3.96,33.87
22.5,88.125,2010,4,4,17.57,0.0,5.34,33.87
23.0,85.0,2010,4,4,5.2,0.0,3.39,33.0
23.0,85.625,2010,4,4,7.12,0.0,2.48,34.21
23.0,86.25,2010,4,4,10.32,0.0,2.54,34.49
23.0,86.875,2010,4,4,14.3,0.0,2.62,33.51
23.0,87.5,2010,4,4,15.85,0.0,3.12,33.83
23.0,88.125,2010,4,4,16.48,0.0,4.37,34.4
23.5,85.0,2010,4,4,5.33,0.0,3.26,31.62
23.5,85.625,2010,4,4,7.84,0.0,2.74,33.37
23.5,86.25,2010,4,4,10.51,0.0,2.34,33.95
23.5,86.875,2010,4,4,13.07,0.0,1.87,34.06
23.5,87.5,2010,4,4,14.38,0.0,2.31,34.61
23.5,88.125,2010,4,4,15.48,0.0,3.56,34.84
24.0,85.0,2010,4,4,4.9,0.0,2.85,32.23
24.0,85.625,2010,4,4,6.97,0.0,2.78,32.46
24.0,86.25,2010,4,4,9.34,0.0,2.58,33.72
24.0,86.875,2010,4,4,11.22,0.0,2.31,34.26
24.0,87.5,2010,4,4,12.28,0.0,1.66,35.24
24.0,88.125,2010,4,4,14.22,0.0,2.53,35.26
22.5,85.0,2010,4,5,4.32,0.0,2.78,34.65
22.5,85.625,2010,4,5,5.01,0.0,2.04,34.49
22.5,86.25,2010,4,5,8.1,0.0,1.92,35.05
22.5,86.875,2010,4,5,12.1,0.0,2.47,34.38
22.5,87.5,2010,4,5,14.04,0.0,2.41,33.83
22.5,88.125,2010,4,5,14.69,0.0,3.06,34.99
23.0,85.0,2010,4,5,4.17,0.0,3.24,33.01
23.0,85.625,2010,4,5,4.36,0.0,2.8,34.18
23.0,86.25,2010,4,5,6.37,0.0,1.84,34.1
23.0,86.875,2010,4,5,10.95,0.0,1.85,32.95
23.0,87.5,2010,4,5,12.62,0.0,2.11,33.41
23.0,88.125,2010,4,5,12.89,0.0,2.82,34.56
23.5,85.0,2010,4,5,3.98,0.0,3.56,31.47
23.5,85.625,2010,4,5,4.15,0.0,3.62,32.96
23.5,86.25,2010,4,5,5.14,0.0,2.93,32.91
23.5,86.875,2010,4,5,7.74,0.0,2.21,32.8
23.5,87.5,2010,4,5,9.77,0.0,2.27,33.7
23.5,88.125,2010,4,5,11.16,0.0,2.83,34.42
24.0,85.0,2010,4,5,3.83,0.0,3.7,31.9
24.0,85.625,2010,4,5,4.14,0.0,4.03,31.86
24.0,86.25,2010,4,5,4.21,0.0,3.98,32.62
24.0,86.875,2010,4,5,4.73,0.0,3.59,32.82
24.0,87.5,2010,4,5,5.99,0.0,3.22,33.77
24.0,88.125,2010,4,5,8.78,0.0,3.3,34.34
22.5,85.0,2010,4,6,3.75,0.0,3.27,34.25
22.5,85.625,2010,4,6,3.94,0.0,2.52,33.94
22.5,86.25,2010,4,6,6.15,0.0,2.22,34.73
22.5,86.875,2010,4,6,10.19,0.0,2.71,34.77
22.5,87.5,2010,4,6,13.85,0.0,2.43,34.09
22.5,88.125,2010,4,6,14.72,0.0,3.28,34.95
23.0,85.0,2010,4,6,3.79,0.0,3.96,32.62
23.0,85.625,2010,4,6,3.83,0.0,3.56,33.67
23.0,86.25,2010,4,6,5.27,0.0,2.52,33.73
23.0,86.875,2010,4,6,8.74,0.0,2.28,32.95
23.0,87.5,2010,4,6,11.36,0.0,2.47,33.26
23.0,88.125,2010,4,6,12.49,0.0,3.13,34.36
23.5,85.0,2010,4,6,3.87,0.0,4.33,31.31
23.5,85.625,2010,4,6,3.96,0.0,4.23,32.74
23.5,86.25,2010,4,6,4.67,0.0,3.41,32.75
23.5,86.875,2010,4,6,6.42,0.0,2.92,32.63
23.5,87.5,2010,4,6,7.64,0.0,2.58,33.34
23.5,88.125,2010,4,6,9.27,0.0,3.04,33.9
24.0,85.0,2010,4,6,3.98,0.0,4.47,32.08
24.0,85.625,2010,4,6,4.28,0.0,4.55,32.1
24.0,86.25,2010,4,6,4.28,0.0,4.24,32.8
24.0,86.875,2010,4,6,4.67,0.0,3.9,32.97
24.0,87.5,2010,4,6,4.68,0.0,3.64,33.75
24.0,88.125,2010,4,6,6.04,0.0,3.39,33.85
22.5,85.0,2010,4,7,3.94,0.0,2.21,34.29
22.5,85.625,2010,4,7,4.6,0.0,2.0,33.8
22.5,86.25,2010,4,7,6.91,0.0,2.59,34.27
22.5,86.875,2010,4,7,10.9,0.0,2.86,34.24
22.5,87.5,2010,4,7,14.19,0.0,2.04,34.02
22.5,88.125,2010,4,7,15.13,0.0,2.43,35.23
23.0,85.0,2010,4,7,3.53,0.0,3.09,32.71
23.0,85.625,2010,4,7,3.84,0.0,2.31,33.62
23.0,86.25,2010,4,7,5.34,0.0,2.12,33.42
23.0,86.875,2010,4,7,8.82,0.0,2.24,32.45
23.0,87.5,2010,4,7,11.45,0.0,1.89,32.89
23.0,88.125,2010,4,7,12.52,0.0,2.14,34.48
23.5,85.0,2010,4,7,3.29,0.0,3.49,31.19
23.5,85.625,2010,4,7,3.52,0.0,3.19,32.61
23.5,86.25,2010,4,7,4.49,0.0,2.36,32.61
23.5,86.875,2010,4,7,6.09,0.0,1.91,32.22
23.5,87.5,2010,4,7,7.37,0.0,1.87,32.84
23.5,88.125,2010,4,7,8.7,0.0,1.93,33.74
24.0,85.0,2010,4,7,3.21,0.0,3.39,31.49
24.0,85.625,2010,4,7,3.58,0.0,3.54,31.53
24.0,86.25,2010,4,7,3.58,0.0,3.27,32.35
24.0,86.875,2010,4,7,3.89,0.0,2.71,32.58
24.0,87.5,2010,4,7,3.98,0.0,1.95,33.24
24.0,88.125,2010,4,7,5.28,0.0,1.69,33.45
22.5,85.0,2010,4,8,5.7,0.0,1.86,34.71
22.5,85.625,2010,4,8,7.32,0.0,1.3,34.95
22.5,86.25,2010,4,8,8.85,0.0,1.95,35.68
22.5,86.875,2010,4,8,10.84,0.0,2.45,35.25
22.5,87.5,2010,4,8,12.57,0.0,2.22,33.94
22.5,88.125,2010,4,8,13.09,0.0,2.71,34.99
23.0,85.0,2010,4,8,3.12,0.0,2.49,33.13
23.0,85.625,2010,4,8,4.65,0.0,1.47,34.33
23.0,86.25,2010,4,8,7.14,0.0,1.72,34.48
23.0,86.875,2010,4,8,9.69,0.0,2.18,33.3
23.0,87.5,2010,4,8,11.06,0.0,2.23,32.98
23.0,88.125,2010,4,8,11.33,0.0,2.47,34.18
23.5,85.0,2010,4,8,2.54,0.0,2.67,31.54
23.5,85.625,2010,4,8,3.15,0.0,1.88,32.95
23.5,86.25,2010,4,8,4.87,0.0,1.53,33.2
23.5,86.875,2010,4,8,6.94,0.0,1.53,32.7
23.5,87.5,2010,4,8,7.8,0.0,2.06,32.9
23.5,88.125,2010,4,8,8.53,0.0,2.36,33.5
24.0,85.0,2010,4,8,2.43,0.0,2.45,31.44
24.0,85.625,2010,4,8,3.09,0.0,2.05,31.47
24.0,86.25,2010,4,8,3.3,0.0,1.61,32.49
24.0,86.875,2010,4,8,3.91,0.0,1.36,32.81
24.0,87.5,2010,4,8,4.17,0.0,1.02,33.44
24.0,88.125,2010,4,8,5.44,0.0,1.46,33.54
22.5,85.0,2010,4,9,2.63,0.0,3.85,34.23
22.5,85.625,2010,4,9,2.84,0.0,3.54,33.76
22.5,86.25,2010,4,9,4.34,0.0,3.26,34.07
22.5,86.875,2010,4,9,8.34,0.0,2.81,33.69
22.5,87.5,2010,4,9,11.54,0.0,2.71,32.9
22.5,88.125,2010,4,9,12.51,0.0,3.46,33.89
23.0,85.0,2010,4,9,2.67,0.0,4.54,32.77
23.0,85.625,2010,4,9,2.73,0.0,4.19,33.53
23.0,86.25,2010,4,9,4.32,0.0,3.5,33.49
23.0,86.875,2010,4,9,8.16,0.0,3.3,32.57
23.0,87.5,2010,4,9,9.96,0.0,2.74,32.53
23.0,88.125,2010,4,9,10.74,0.0,3.0,33.52
23.5,85.0,2010,4,9,2.67,0.0,4.76,31.12
23.5,85.625,2010,4,9,2.72,0.0,4.51,32.26
23.5,86.25,2010,4,9,3.57,0.0,3.66,32.5
23.5,86.875,2010,4,9,6.23,0.0,3.52,32.44
23.5,87.5,2010,4,9,7.72,0.0,3.34,33.04
23.5,88.125,2010,4,9,8.69,0.0,3.27,33.64
24.0,85.0,2010,4,9,2.69,0.0,4.58,30.53
24.0,85.625,2010,4,9,2.98,0.0,4.42,30.41
24.0,86.25,2010,4,9,2.98,0.0,3.77,31.4
24.0,86.875,2010,4,9,3.73,0.0,3.49,32.12
24.0,87.5,2010,4,9,4.52,0.0,3.3,33.09
24.0,88.125,2010,4,9,5.81,0.0,3.27,33.33
22.5,85.0,2010,4,10,3.49,0.0,3.0,34.7
22.5,85.625,2010,4,10,3.41,0.0,2.97,34.35
22.5,86.25,2010,4,10,3.69,0.0,2.5,34.57
22.5,86.875,2010,4,10,6.49,0.0,2.82,34.39
22.5,87.5,2010,4,10,10.86,0.0,2.95,33.48
22.5,88.125,2010,4,10,13.26,0.0,3.81,34.4
23.0,85.0,2010,4,10,3.28,0.0,4.02,33.16
23.0,85.625,2010,4,10,3.17,0.0,3.79,34.13
23.0,86.25,2010,4,10,3.7,0.0,3.21,33.88
23.0,86.875,2010,4,10,5.74,0.0,2.66,32.67
23.0,87.5,2010,4,10,7.79,0.0,2.75,32.54
23.0,88.125,2010,4,10,9.07,0.0,3.28,33.68
23.5,85.0,2010,4,10,3.13,0.0,4.55,31.98
23.5,85.625,2010,4,10,3.12,0.0,4.53,33.26
23.5,86.25,2010,4,10,3.6,0.0,3.83,33.29
23.5,86.875,2010,4,10,4.65,0.0,3.2,32.73
23.5,87.5,2010,4,10,4.89,0.0,2.76,32.89
23.5,88.125,2010,4,10,5.36,0.0,2.97,33.49
24.0,85.0,2010,4,10,3.15,0.0,4.66,32.59
24.0,85.625,2010,4,10,3.43,0.0,4.82,32.51
24.0,86.25,2010,4,10,3.37,0.0,4.37,33.08
24.0,86.875,2010,4,10,3.55,0.0,3.69,33.47
24.0,87.5,2010,4,10,3.36,0.0,3.12,33.99
24.0,88.125,2010,4,10,4.01,0.0,2.68,33.82
22.5,85.0,2010,4,11,3.35,0.0,3.09,35.6
22.5,85.625,2010,4,11,3.65,0.0,2.45,35.25
22.5,86.25,2010,4,11,4.76,0.0,2.36,35.78
22.5,86.875,2010,4,11,8.76,0.0,3.27,35.83
22.5,87.5,2010,4,11,12.98,0.0,3.12,35.05
22.5,88.125,2010,4,11,15.61,0.0,3.94,35.91
23.0,85.0,2010,4,11,3.09,0.0,3.87,34.2
23.0,85.625,2010,4,11,3.18,0.0,3.43,35.25
23.0,86.25,2010,4,11,4.14,0.0,2.47,35.05
23.0,86.875,2010,4,11,7.73,0.0,2.58,34.14
23.0,87.5,2010,4,11,11.43,0.0,2.57,34.2
23.0,88.125,2010,4,11,13.5,0.0,3.31,35.66
23.5,85.0,2010,4,11,3.02,0.0,3.97,33.02
23.5,85.625,2010,4,11,3.22,0.0,3.86,34.34
23.5,86.25,2010,4,11,3.89,0.0,2.94,34.3
23.5,86.875,2010,4,11,5.86,0.0,2.13,33.7
23.5,87.5,2010,4,11,8.78,0.0,2.26,34.06
23.5,88.125,2010,4,11,11.38,0.0,2.84,35.09
24.0,85.0,2010,4,11,3.2,0.0,3.91,33.77
24.0,85.625,2010,4,11,3.65,0.0,3.91,33.68
24.0,86.25,2010,4,11,3.7,0.0,3.54,34.2
24.0,86.875,2010,4,11,4.1,0.0,2.76,34.2
24.0,87.5,2010,4,11,5.41,0.0,2.12,34.62
24.0,88.125,2010,4,11,8.47,0.0,2.48,34.71
22.5,85.0,2010,4,12,3.64,0.0,1.85,36.49
22.5,85.625,2010,4,12,5.4,0.0,1.47,36.33
22.5,86.25,2010,4,12,9.43,0.0,2.84,37.22
22.5,86.875,2010,4,12,14.44,0.0,3.91,36.76
22.5,87.5,2010,4,12,17.82,0.0,5.05,34.34
22.5,88.125,2010,4,12,18.52,0.0,5.94,34.18
23.0,85.0,2010,4,12,3.37,0.0,1.62,35.09
23.0,85.625,2010,4,12,4.47,0.0,1.67,36.07
23.0,86.25,2010,4,12,8.41,0.0,2.35,36.41
23.0,86.875,2010,4,12,13.32,0.0,3.13,35.82
23.0,87.5,2010,4,12,16.36,0.0,3.96,34.99
23.0,88.125,2010,4,12,17.11,0.0,5.24,35.47
23.5,85.0,2010,4,12,3.16,0.0,1.73,33.71
23.5,85.625,2010,4,12,3.91,0.0,1.74,35.09
23.5,86.25,2010,4,12,6.38,0.0,1.82,35.47
23.5,86.875,2010,4,12,11.11,0.0,2.37,35.44
23.5,87.5,2010,4,12,13.99,0.0,3.08,35.71
23.5,88.125,2010,4,12,15.27,0.0,4.26,36.3
24.0,85.0,2010,4,12,3.16,0.0,2.02,33.99
24.0,85.625,2010,4,12,3.86,0.0,2.23,34.03
24.0,86.25,2010,4,12,4.36,0.0,2.11,34.96
24.0,86.875,2010,4,12,7.15,0.0,2.23,35.48
24.0,87.5,2010,4,12,9.97,0.0,2.29,36.05
24.0,88.125,2010,4,12,12.26,0.02,2.88,36.29
22.5,85.0,2010,4,13,7.23,0.0,2.52,35.79
22.5,85.625,2010,4,13,9.67,0.0,2.47,35.84
22.5,86.25,2010,4,13,11.97,0.0,2.65,37.03
22.5,86.875,2010,4,13,16.29,0.0,4.15,36.35
22.5,87.5,2010,4,13,18.77,0.0,5.63,33.01
22.5,88.125,2010,4,13,18.81,0.0,5.98,32.65
23.0,85.0,2010,4,13,5.76,0.0,2.83,34.38
23.0,85.625,2010,4,13,8.95,0.0,2.61,36.06
23.0,86.25,2010,4,13,12.4,0.0,2.33,37.21
23.0,86.875,2010,4,13,15.99,0.0,3.73,35.95
23.0,87.5,2010,4,13,17.94,0.0,5.06,33.87
23.0,88.125,2010,4,13,17.78,0.01,5.66,33.79
23.5,85.0,2010,4,13,5.88,0.0,3.29,33.23
23.5,85.625,2010,4,13,8.79,0.0,2.99,35.23
23.5,86.25,2010,4,13,11.96,0.0,2.16,36.64
23.5,86.875,2010,4,13,15.21,0.02,2.97,36.27
23.5,87.5,2010,4,13,16.91,0.1,4.7,35.17
23.5,88.125,2010,4,13,16.81,0.13,5.42,35.11
24.0,85.0,2010,4,13,5.95,0.0,3.26,33.8
24.0,85.625,2010,4,13,9.04,0.0,3.18,34.35
